Year,HSI Commercial,HSI Survey
1859,6.9267,
1860,7.613,
1861,7.4549,
1862,6.4954,
1863,,
1864,6.079,
1865,5.7623,
1866,6.2719,
1867,5.3692,
1868,4.8666,
1869,5.3001,
1870,6.5227,
1871,6.0336,
1872,6.4472,
1873,6.0751,
1874,6.0638,
1875,5.6402,
1876,5.6572,
1877,5.8317,
1878,5.8313,
1879,6.0213,
1880,6.0484,
1881,5.362,
1882,4.1358,
1883,2.7193,
1884,4.354,
1885,4.4932,
1886,5.0239,
1887,4.6545,
1888,5.6671,
1889,5.5353,
1890,6.6003,
1891,6.0453,
1892,5.2602,
1893,5.8421,
1894,3.8259,
1895,3.9635,
1896,4.4525,
1897,5.122,
1898,4.7831,
1899,6.2464,
1900,6.2498,
1901,6.3083,
1902,4.3895,
1903,1.5588,
1904,3.3707,
1905,6.1156,
1906,5.3348,
1907,5.726,
1908,7.0031,
1909,5.5196,
1910,5.1698,
1911,4.6793,
1912,5.0456,
1913,4.3817,
1914,4.8951,
1915,4.5409,
1916,5.4751,
1917,5.6492,
1918,5.1321,
1919,5.5357,
1920,6.8364,
1921,6.8135,
1922,8.2076,
1923,8.0043,
1924,8.3117,
1925,7.027,
1926,6.8818,
1927,5.5846,
1928,4.4077,
1929,5.7142,
1930,5.7939,
1931,6.4812,
1932,7.8045,
1933,7.7579,
1934,8.4011,
1935,8.3107,
1936,7.9282,
1937,7.1506,
1938,6.1538,
1939,6.0377,
1940,6.0612,
1941,5.4701,
1942,5.7143,
1943,4.7317,
1944,5.9428,
1945,7.0077,
1946,7.872,
1947,6.8839,
1948,6.4775,
1949,7.4877,
1950,8.3615,
1951,9.0912,
1952,8.2098,
1953,7.3524,
1954,7.9312,
1955,6.9755,
1956,6.738,
1957,6.4258,
1958,6.469,
1959,6.3352,
1960,6.6763,
1961,6.6584,
1962,6.5053,
1963,6.3839,
1964,6.7878,
1965,6.8835,
1966,6.8999,
1967,6.4777,
1968,6.5781,
1969,6.6459,
1970,6.2758,
1971,6.9277,
1972,6.8862,
1973,6.6919,
1974,6.303,
1975,5.4348,
1976,5.5489,
1977,5.8631,
1978,5.8401,
1979,5.9749,
1980,5.7225,
1981,6.1547,
1982,5.9885,
1983,6.1129,
1984,5.9881,
1985,5.3577,
1986,5.2151,
1987,5.2789,
1988,4.6231,
1989,4.1153,
1990,5.1655,
1991,7.3646,
1992,6.3414,
1993,4.8826,
1994,4.5116,
1995,5.3036,
1996,5.0317,
1997,4.68,5.4339
1998,6.115,5.2254
1999,5.4503,4.7738
2000,5.9221,6.4999
2001,4.9967,5.2459
2002,5.4548,5.4964
2003,5.8696,5.6895
2004,4.0158,3.9604
2005,4.253,4.7003
2006,4.9818,5.7753
2007,5.5518,5.1399
2008,4.7879,5.8457
2009,4.6677,5.2383
2010,4.4242,5.1745
2011,3.5214,4.9706
2012,3.2908,4.8809
2013,,5.6465